,Project,Commit,File,Method,CommentType,#Parameters,NLOC,Complexity,NLOC_slope,Params_slope,Complexity_slope,pmd_warnings_numbers,checkstyle_warnings_numbers
2891,systemml,3f8ff2a87bdd061f9c1dcc4f137ac51fe595cb54,src/main/java/org/apache/sysds/hops/ParameterizedBuiltinOp.java,ParameterizedBuiltinOp::getParamservPseudoFunctionCalls(),Not SATD,0.0,29.0,5.0,,,,1.0,84.0
2892,systemml,3f8ff2a87bdd061f9c1dcc4f137ac51fe595cb54,src/main/java/org/apache/sysds/hops/ipa/FunctionCallGraph.java,"FunctionCallGraph::rConstructFunctionCallGraph( Hop hop , String fkey , StatementBlock sb , Stack<String> fstack , HashSet<String> lfset)",Not SATD,5.0,17.0,6.0,,,,4.0,42.0
2893,systemml,3f8ff2a87bdd061f9c1dcc4f137ac51fe595cb54,src/main/java/org/apache/sysds/hops/ipa/FunctionCallGraph.java,"FunctionCallGraph::rConstructFunctionCallGraph( String fkey , StatementBlock sb , Stack<String> fstack , HashSet<String> lfset)",Not SATD,4.0,39.0,14.0,,,,7.0,77.0
2894,systemml,3f8ff2a87bdd061f9c1dcc4f137ac51fe595cb54,src/main/java/org/apache/sysds/hops/ipa/FunctionCallGraph.java,"FunctionCallGraph::addFunctionOpToGraph( FunctionOp fop , String fkey , StatementBlock sb , Stack<String> fstack , HashSet<String> lfset)",Not SATD,5.0,34.0,8.0,,,,5.0,80.0
2895,systemml,3f8ff2a87bdd061f9c1dcc4f137ac51fe595cb54,src/main/java/org/apache/sysds/hops/ipa/IPAPassInlineFunctions.java,"IPAPassInlineFunctions::rewriteProgram( DMLProgram prog , FunctionCallGraph fgraph , FunctionCallSizeInfo fcallSizes)",Not SATD,3.0,69.0,23.0,,,,8.0,214.0
2896,systemml,3f8ff2a87bdd061f9c1dcc4f137ac51fe595cb54,src/main/java/org/apache/sysds/hops/ipa/InterProceduralAnalysis.java,InterProceduralAnalysis::InterProceduralAnalysis( DMLProgram dmlp),Not SATD,1.0,20.0,2.0,,,,0.0,26.0
2897,systemml,b8bdfa8cef3563bd216615c4355a8c5ca097eeb9,src/main/java/org/apache/sysds/runtime/instructions/gpu/context/GPUObject.java,GPUObject::getDensePointer(),Not SATD,0.0,6.0,4.0,,,,0.0,8.0
2898,systemml,b8bdfa8cef3563bd216615c4355a8c5ca097eeb9,src/main/java/org/apache/sysds/runtime/instructions/gpu/context/GPUObject.java,"GPUObject::GPUObject( GPUContext gCtx , MatrixObject mat2)",Not SATD,2.0,5.0,1.0,,,,0.0,9.0
2899,systemml,b8bdfa8cef3563bd216615c4355a8c5ca097eeb9,src/main/java/org/apache/sysds/runtime/lineage/LineageCache.java,"LineageCache::reuse( Instruction inst , ExecutionContext ec)",SATD,2.0,73.0,31.0,1.50909090909091,0.0,1.14545454545455,17.0,172.0
2900,systemml,b8bdfa8cef3563bd216615c4355a8c5ca097eeb9,src/test/java/org/apache/sysds/test/functions/lineage/LineageTraceGPUTest.java,LineageTraceGPUTest::testLineageTraceExec( String testname),SATD,1.0,24.0,2.0,,,,3.0,39.0
2901,systemml,b8bdfa8cef3563bd216615c4355a8c5ca097eeb9,src/test/java/org/apache/sysds/test/functions/lineage/GPUFullReuseTest.java,GPUFullReuseTest::ReuseSingleInst(),Not SATD,0.0,3.0,1.0,,,,1.0,4.0
2902,systemml,b8bdfa8cef3563bd216615c4355a8c5ca097eeb9,src/test/java/org/apache/sysds/test/functions/lineage/GPUFullReuseTest.java,GPUFullReuseTest::checkGPU(),Not SATD,0.0,3.0,1.0,,,,0.0,3.0
2903,systemml,b8bdfa8cef3563bd216615c4355a8c5ca097eeb9,src/test/java/org/apache/sysds/test/functions/lineage/GPUFullReuseTest.java,GPUFullReuseTest::testLineageTraceExec( String testname),Not SATD,1.0,25.0,1.0,,,,4.0,42.0
2904,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/cp/MultiReturnParameterizedBuiltinCPInstruction.java,MultiReturnParameterizedBuiltinCPInstruction::processInstruction( ExecutionContext ec),Not SATD,1.0,12.0,1.0,,,,0.0,21.0
2905,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/cp/MultiReturnParameterizedBuiltinCPInstruction.java,MultiReturnParameterizedBuiltinCPInstruction::parseInstruction( String str),Not SATD,1.0,15.0,2.0,,,,1.0,33.0
2906,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/cp/ParameterizedBuiltinCPInstruction.java,"ParameterizedBuiltinCPInstruction::warnOnTrunction( CacheBlock data , int rows , int cols)",Not SATD,3.0,8.0,5.0,-0.0545454545454546,0.0,0.0,3.0,21.0
2907,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/cp/ParameterizedBuiltinCPInstruction.java,"ParameterizedBuiltinCPInstruction::warnOnTrunction( TensorBlock data , int rows , int cols)",Not SATD,3.0,13.0,6.0,-0.109090909090909,0.0,0.0,5.0,23.0
2908,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/cp/ParameterizedBuiltinCPInstruction.java,ParameterizedBuiltinCPInstruction::parseInstruction( String str),Not SATD,1.0,48.0,22.0,0.0424242424242424,0.0,0.096969696969697,15.0,134.0
2909,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/cp/ParameterizedBuiltinCPInstruction.java,ParameterizedBuiltinCPInstruction::getLineageItem( ExecutionContext ec),Not SATD,1.0,58.0,12.0,1.9030303030303,0.0,0.503030303030303,6.0,122.0
2910,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/cp/ParameterizedBuiltinCPInstruction.java,ParameterizedBuiltinCPInstruction::processInstruction( ExecutionContext ec),Not SATD,1.0,185.0,36.0,1.15757575757576,0.0,-0.0484848484848485,23.0,391.0
2911,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/fed/MultiReturnParameterizedBuiltinFEDInstruction.java,MultiReturnParameterizedBuiltinFEDInstruction::processInstruction( ExecutionContext ec),Not SATD,1.0,35.0,3.0,-0.4,0.0,0.133333333333333,0.0,66.0
2912,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/fed/MultiReturnParameterizedBuiltinFEDInstruction.java,"MultiReturnParameterizedBuiltinFEDInstruction::encodeFederatedFrames( FederationMap fedMapping , MultiColumnEncoder globalencoder , MatrixObject transformedMat)",Not SATD,3.0,25.0,3.0,,,,1.0,52.0
2913,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/fed/ParameterizedBuiltinFEDInstruction.java,ParameterizedBuiltinFEDInstruction::rmempty( ExecutionContext ec),Not SATD,1.0,118.0,21.0,,,,11.0,208.0
2914,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/fed/ParameterizedBuiltinFEDInstruction.java,"ParameterizedBuiltinFEDInstruction::buildOmitEncoder( FederationMap fedMapping , EncoderOmit omitEncoder)",Not SATD,2.0,22.0,2.0,,,,0.0,35.0
2915,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/fed/ParameterizedBuiltinFEDInstruction.java,"ParameterizedBuiltinFEDInstruction::InitRowsToRemoveOmit::execute( ExecutionContext ec , Data ... data)",Not SATD,2.0,6.0,1.0,-0.0424242424242424,0.0,0.0,0.0,11.0
2916,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/MultiReturnParameterizedBuiltinSPInstruction.java,"MultiReturnParameterizedBuiltinSPInstruction::TransformEncodeBuildFunction::call( Iterator<Tuple2<Long,FrameBlock>> iter)",Not SATD,1.0,27.0,8.0,,,,4.0,60.0
2917,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/MultiReturnParameterizedBuiltinSPInstruction.java,"MultiReturnParameterizedBuiltinSPInstruction::TransformEncodeGroupFunction::call( Tuple2<Integer,Iterable<Object>> arg0)",Not SATD,1.0,44.0,6.0,,,,0.0,71.0
2918,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/MultiReturnParameterizedBuiltinSPInstruction.java,"MultiReturnParameterizedBuiltinSPInstruction::TransformEncodeGroup2Function::call( Tuple2<Integer,Iterable<ColumnMetadata>> arg0)",Not SATD,1.0,38.0,11.0,,,,3.0,73.0
2919,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/MultiReturnParameterizedBuiltinSPInstruction.java,"MultiReturnParameterizedBuiltinSPInstruction::TransformEncodeGroupFunction::TransformEncodeGroupFunction( MultiColumnEncoder encoder , MaxLongAccumulator accMax)",Not SATD,2.0,4.0,1.0,,,,0.0,8.0
2920,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/MultiReturnParameterizedBuiltinSPInstruction.java,MultiReturnParameterizedBuiltinSPInstruction::processInstruction( ExecutionContext ec),Not SATD,1.0,49.0,8.0,,,,0.0,113.0
2921,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/MultiReturnParameterizedBuiltinSPInstruction.java,MultiReturnParameterizedBuiltinSPInstruction::TransformEncodeBuildFunction::TransformEncodeBuildFunction( MultiColumnEncoder encoder),Not SATD,1.0,3.0,1.0,,,,0.0,6.0
2922,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/MultiReturnParameterizedBuiltinSPInstruction.java,MultiReturnParameterizedBuiltinSPInstruction::parseInstruction( String str),Not SATD,1.0,15.0,2.0,,,,1.0,33.0
2923,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/ParameterizedBuiltinSPInstruction.java,"ParameterizedBuiltinSPInstruction::RDDTransformDecodeFunction::call( Tuple2<MatrixIndexes,MatrixBlock> in)",Not SATD,1.0,6.0,1.0,,,,0.0,12.0
2924,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/ParameterizedBuiltinSPInstruction.java,"ParameterizedBuiltinSPInstruction::RDDRExpandFunction::call( Tuple2<MatrixIndexes,MatrixBlock> arg0)",Not SATD,1.0,7.0,1.0,,,,0.0,12.0
2925,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/ParameterizedBuiltinSPInstruction.java,"ParameterizedBuiltinSPInstruction::setOutputCharacteristicsForGroupedAgg( DataCharacteristics mc1 , DataCharacteristics mcOut , JavaPairRDD<MatrixIndexes,MatrixCell> out)",Not SATD,3.0,17.0,4.0,,,,0.0,36.0
2926,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/ParameterizedBuiltinSPInstruction.java,"ParameterizedBuiltinSPInstruction::RDDTransformApplyFunction::call( Tuple2<Long,FrameBlock> in)",Not SATD,1.0,10.0,2.0,,,,0.0,16.0
2927,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/ParameterizedBuiltinSPInstruction.java,"ParameterizedBuiltinSPInstruction::RDDRemoveEmptyFunction::call( Tuple2<MatrixIndexes,Tuple2<MatrixBlock,MatrixBlock>> arg0)",Not SATD,1.0,8.0,1.0,,,,0.0,15.0
2928,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/ParameterizedBuiltinSPInstruction.java,ParameterizedBuiltinSPInstruction::processInstruction( ExecutionContext ec),Not SATD,1.0,255.0,52.0,,,,24.0,546.0
2929,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/ParameterizedBuiltinSPInstruction.java,"ParameterizedBuiltinSPInstruction::RDDExtractTriangularFunction::ExtractTriangularIterator::computeNext( Tuple2<MatrixIndexes,MatrixBlock> arg)",Not SATD,1.0,14.0,10.0,,,,5.0,29.0
2930,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/ParameterizedBuiltinSPInstruction.java,ParameterizedBuiltinSPInstruction::constructParameterMap( String [ ] params),Not SATD,1.0,9.0,2.0,,,,1.0,17.0
2931,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/ParameterizedBuiltinSPInstruction.java,ParameterizedBuiltinSPInstruction::CreateMatrixCell::call( WeightedCell kv),Not SATD,1.0,32.0,8.0,,,,0.0,42.0
2932,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/instructions/spark/ParameterizedBuiltinSPInstruction.java,ParameterizedBuiltinSPInstruction::parseInstruction( String str),Not SATD,1.0,46.0,14.0,,,,10.0,119.0
2933,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/EncoderFactory.java,"EncoderFactory::createEncoder( String spec , String [ ] colnames , ValueType [ ] schema , FrameBlock meta , int minCol , int maxCol)",Not SATD,6.0,93.0,25.0,,,,4.0,197.0
2934,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/EncoderMVImpute.java,"EncoderMVImpute::EncoderMVImpute( JSONObject parsedSpec , String [ ] colnames , int clen , int minCol , int maxCol)",Not SATD,5.0,9.0,1.0,,,,0.0,18.0
2935,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/EncoderMVImpute.java,EncoderMVImpute::getHistogram( int colID),Not SATD,1.0,3.0,1.0,,,,1.0,5.0
2936,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/EncoderMVImpute.java,EncoderMVImpute::initMetaData( FrameBlock meta),Not SATD,1.0,16.0,4.0,,,,1.0,25.0
2937,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/EncoderMVImpute.java,EncoderMVImpute::build( FrameBlock in),Not SATD,1.0,42.0,14.0,,,,2.0,77.0
2938,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/EncoderOmit.java,EncoderOmit::isApplicable(),Not SATD,0.0,3.0,2.0,,,,1.0,5.0
2939,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/EncoderOmit.java,EncoderOmit::getMetaData( FrameBlock out),Not SATD,1.0,3.0,1.0,,,,0.0,6.0
2940,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/EncoderOmit.java,EncoderOmit::subRangeColList( IndexRange ixRange),Not SATD,1.0,9.0,3.0,,,,0.0,15.0
2941,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/EncoderOmit.java,EncoderOmit::initMetaData( FrameBlock meta),Not SATD,1.0,2.0,1.0,,,,0.0,4.0
2942,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/EncoderOmit.java,EncoderOmit::computeRmRows( FrameBlock in),SATD,1.0,14.0,6.0,,,,1.0,23.0
2943,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/meta/TfMetaUtils.java,TfMetaUtils::getK( JSONObject parsedSpec),Not SATD,1.0,3.0,1.0,,,,0.0,4.0
2944,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/test/java/org/apache/sysds/test/functions/federated/transform/TransformFederatedEncodeApplyTest.java,TransformFederatedEncodeApplyTest::testHomesRecodeDummycodeIDsCSVLineage(),SATD,0.0,3.0,1.0,,,,0.0,2.0
2945,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/test/java/org/apache/sysds/test/functions/federated/transform/TransformFederatedEncodeApplyTest.java,"TransformFederatedEncodeApplyTest::runTransformTest( TransformType type , boolean colnames , boolean lineage)",SATD,3.0,101.0,32.0,,,,8.0,220.0
2946,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoder.java,ColumnEncoder::isApplicable(),Not SATD,0.0,3.0,1.0,,,,0.0,3.0
2947,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoder.java,ColumnEncoder::readExternal( ObjectInput in),Not SATD,1.0,3.0,1.0,,,,1.0,3.0
2948,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoder.java,"ColumnEncoder::updateIndexRanges( long [ ] beginDims , long [ ] endDims , int colOffset)",Not SATD,3.0,2.0,1.0,,,,1.0,7.0
2949,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoder.java,ColumnEncoder::writeExternal( ObjectOutput os),Not SATD,1.0,3.0,1.0,,,,2.0,3.0
2950,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoder.java,ColumnEncoder::getColMapping( FrameBlock meta),Not SATD,1.0,3.0,1.0,,,,1.0,4.0
2951,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoder.java,ColumnEncoder::prepareBuildPartial(),Not SATD,0.0,2.0,1.0,,,,0.0,2.0
2952,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoder.java,ColumnEncoder::buildPartial( FrameBlock in),Not SATD,1.0,2.0,1.0,,,,1.0,3.0
2953,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoder.java,ColumnEncoder::isApplicable( int colID),Not SATD,1.0,3.0,1.0,,,,0.0,4.0
2954,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoder.java,ColumnEncoder::mergeAt( ColumnEncoder other),Not SATD,1.0,4.0,1.0,,,,0.0,5.0
2955,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderBin.java,ColumnEncoderBin::build( FrameBlock in),Not SATD,1.0,12.0,3.0,,,,1.0,16.0
2956,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderBin.java,ColumnEncoderBin::getMetaData( FrameBlock meta),Not SATD,1.0,11.0,2.0,,,,0.0,13.0
2957,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderBin.java,"ColumnEncoderBin::computeBins( double min , double max)",Not SATD,2.0,10.0,4.0,,,,0.0,16.0
2958,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderBin.java,ColumnEncoderBin::initMetaData( FrameBlock meta),Not SATD,1.0,12.0,4.0,,,,1.0,18.0
2959,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderBin.java,ColumnEncoderBin::ColumnEncoderBin(),Not SATD,0.0,3.0,1.0,,,,0.0,4.0
2960,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderBin.java,ColumnEncoderBin::mergeAt( ColumnEncoder other),Not SATD,1.0,21.0,3.0,,,,0.0,30.0
2961,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderBin.java,ColumnEncoderBin::buildPartial( FrameBlock in),Not SATD,1.0,13.0,3.0,,,,1.0,20.0
2962,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderBin.java,ColumnEncoderBin::prepareBuildPartial(),Not SATD,0.0,4.0,1.0,,,,0.0,6.0
2963,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderComposite.java,"ColumnEncoderComposite::apply( MatrixBlock in , MatrixBlock out , int outputCol)",Not SATD,3.0,17.0,4.0,,,,1.0,30.0
2964,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderComposite.java,ColumnEncoderComposite::mergeAt( ColumnEncoder other),Not SATD,1.0,15.0,4.0,,,,1.0,25.0
2965,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderComposite.java,"ColumnEncoderComposite::apply( FrameBlock in , MatrixBlock out , int outputCol)",Not SATD,3.0,17.0,4.0,,,,1.0,31.0
2966,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderDummycode.java,ColumnEncoderDummycode::mergeAt( ColumnEncoder other),Not SATD,1.0,8.0,2.0,,,,0.0,8.0
2967,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderDummycode.java,"ColumnEncoderDummycode::apply( MatrixBlock in , MatrixBlock out , int outputCol)",Not SATD,3.0,11.0,3.0,,,,2.0,22.0
2968,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderDummycode.java,ColumnEncoderDummycode::initMetaData( FrameBlock meta),Not SATD,1.0,4.0,1.0,,,,0.0,5.0
2969,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderDummycode.java,ColumnEncoderDummycode::ColumnEncoderDummycode(),Not SATD,0.0,3.0,1.0,,,,0.0,4.0
2970,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderDummycode.java,"ColumnEncoderDummycode::updateIndexRanges( long [ ] beginDims , long [ ] endDims , int colOffset)",Not SATD,3.0,4.0,1.0,,,,0.0,7.0
2971,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderDummycode.java,ColumnEncoderDummycode::build( FrameBlock in),Not SATD,1.0,2.0,1.0,,,,0.0,2.0
2972,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderFeatureHash.java,"ColumnEncoderFeatureHash::apply( MatrixBlock in , MatrixBlock out , int outputCol)",Not SATD,3.0,9.0,3.0,,,,1.0,18.0
2973,systemml,9d6e66ab4d931ceba75068a975e9dfd4b4a505d6,src/main/java/org/apache/sysds/runtime/transform/encode/ColumnEncoderFeatureHash.java,"ColumnEncoderFeatureHash::apply( FrameBlock in , MatrixBlock out , int outputCol)",Not SATD,3.0,11.0,5.0,,,,2.0,23.0
