,Project,Commit,File,Method,CommentType,#Parameters_x,NLOC_x,Complexity_x,NLOC_slope,Params_slope,Complexity_slope,pmd_warnings_numbers,checkstyle_warnings_numbers
13,openjpa,1fb5234574994dd1ec023a04ffbbe042831d22bc,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentHashMap.java,ConcurrentHashMap::Entry::clone(),Not SATD,0.0,3.0,1.0,,,,1.0,4.0
14,openjpa,1fb5234574994dd1ec023a04ffbbe042831d22bc,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataSerializer.java,"AnnotationPersistenceMetaDataSerializer::ClassSeqs::compare( SequenceMetaData o1 , SequenceMetaData o2)",Not SATD,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0
15,openjpa,1fb5234574994dd1ec023a04ffbbe042831d22bc,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java,"XMLPersistenceMetaDataSerializer::FieldComparator::compare( Object o1 , Object o2)",Not SATD,2.0,22.0,10.0,0.0,0.0,0.0,5.0,17.0
16,openjpa,1fb5234574994dd1ec023a04ffbbe042831d22bc,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java,"XMLPersistenceMetaDataSerializer::SerializationComparator::compare( SequenceMetaData o1 , SequenceMetaData o2)",Not SATD,2.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0
17,openjpa,d73e2e72f0f2c022aa2e0431a04a1552e7993d17,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/TreeBidiMap.java,TreeBidiMap<K::Node<K::hashCode(),Not SATD,0.0,7.0,2.0,,,,0.0,3.0
18,openjpa,d73e2e72f0f2c022aa2e0431a04a1552e7993d17,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/TreeBidiMap.java,TreeBidiMap<K::Inverse::equals( final Object obj),SATD,1.0,3.0,1.0,,,,0.0,0.0
19,openjpa,d73e2e72f0f2c022aa2e0431a04a1552e7993d17,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/TreeBidiMap.java,TreeBidiMap<K::size(),SATD,0.0,3.0,1.0,,,,0.0,0.0
22,openjpa,d73e2e72f0f2c022aa2e0431a04a1552e7993d17,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/SourceAnnotationHandler.java,SourceAnnotationHandler::TransientFilter::includes( Element obj),Not SATD,1.0,6.0,3.0,0.0,0.0,0.0,0.0,5.0
23,openjpa,d73e2e72f0f2c022aa2e0431a04a1552e7993d17,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/SourceAnnotationHandler.java,SourceAnnotationHandler::SetterFilter::includes( ExecutableElement method),Not SATD,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0
26,openjpa,a7708636e3d5440fa071075e94d726b50689a82b,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java,PersistenceMetaDataDefaults::GetterFilter::includes( Method method),Not SATD,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0
29,openjpa,b0ba9c3e60305b441956837c8b71479dc6aba825,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::EntrySetIterator<K,V>::remove()",Not SATD,0.0,10.0,2.0,,,,0.0,8.0
30,openjpa,b0ba9c3e60305b441956837c8b71479dc6aba825,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractReferenceMap.java,"AbstractReferenceMap<K,V>::ReferenceValues<V>::toArray( final T [ ] arr)",Not SATD,1.0,7.0,2.0,,,,0.0,0.0
31,openjpa,b0ba9c3e60305b441956837c8b71479dc6aba825,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractReferenceMap.java,"AbstractReferenceMap<K,V>::purge( final Reference <?> ref)",Not SATD,1.0,21.0,4.0,,,,0.0,1.0
32,openjpa,b0ba9c3e60305b441956837c8b71479dc6aba825,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/TreeBidiMap.java,TreeBidiMap<K::size(),Not SATD,0.0,3.0,1.0,,,,0.0,0.0
35,openjpa,b0ba9c3e60305b441956837c8b71479dc6aba825,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/inheritance/entities/EntityMapping.java,EntityMapping::getEntityClass(),Not SATD,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
36,openjpa,b0ba9c3e60305b441956837c8b71479dc6aba825,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java,PersistenceMetaDataDefaults::GetterFilter::includes( Method method),Not SATD,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0
39,openjpa,61b30777d4e83646325006175f918d9fb2ef45c9,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/Log4J2LogFactory.java,Log4J2LogFactory::LogAdapter::LogAdapter( Logger wrapee),Not SATD,1.0,3.0,1.0,,,,0.0,1.0
40,openjpa,0d7816290ea9950a8f1aa02dfe418d877481dc0a,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/asm/AsmSpi9.java,AsmSpi9::bytes( final String type),Not SATD,1.0,24.0,5.0,,,,2.0,6.0
41,openjpa,440cdb37719d0431e07adcf8dff2f70aab6c292a,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/JULLogFactory.java,JULLogFactory::startConfiguration(),Not SATD,0.0,2.0,1.0,,,,0.0,1.0
42,openjpa,440cdb37719d0431e07adcf8dff2f70aab6c292a,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/JULLogFactory.java,JULLogFactory::endConfiguration(),Not SATD,0.0,2.0,1.0,,,,0.0,1.0
52,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-kernel/src/main/java/org/apache/openjpa/util/CacheMap.java,CacheMap::EntrySet::size(),Not SATD,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
53,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractCollectionDecorator.java,AbstractCollectionDecorator<E>::setCollection( final Collection<E> coll),Not SATD,1.0,3.0,1.0,,,,0.0,0.0
54,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractCollectionDecorator.java,AbstractCollectionDecorator<E>::add( final E object),Not SATD,1.0,3.0,1.0,,,,0.0,0.0
55,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractCollectionDecorator.java,AbstractCollectionDecorator<E>::AbstractCollectionDecorator( final Collection<E> coll),Not SATD,1.0,6.0,2.0,,,,0.0,2.0
56,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractCollectionDecorator.java,AbstractCollectionDecorator<E>::removeIf( final Predicate<?super E> filter),Not SATD,1.0,3.0,1.0,,,,0.0,0.0
57,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractCollectionDecorator.java,AbstractCollectionDecorator<E>::AbstractCollectionDecorator(),Not SATD,0.0,3.0,1.0,,,,0.0,0.0
58,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractCollectionDecorator.java,AbstractCollectionDecorator<E>::decorated(),Not SATD,0.0,3.0,1.0,,,,0.0,1.0
59,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::entrySet()",Not SATD,0.0,6.0,2.0,,,,0.0,2.0
60,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::AbstractDualBidiMap( final Map<K,V> normalMap , final Map<V,K> reverseMap)",Not SATD,2.0,5.0,1.0,,,,0.0,1.0
61,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::View<K,V,E>::View( final Collection<E> coll , final AbstractDualBidiMap<K,V> parent)",SATD,2.0,4.0,1.0,,,,0.0,0.0
62,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::mapIterator()",SATD,0.0,3.0,1.0,,,,0.0,1.0
63,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::MapEntry<K,V>::MapEntry( final Entry<K,V> entry , final AbstractDualBidiMap<K,V> parent)",Not SATD,2.0,4.0,1.0,,,,0.0,2.0
64,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::ValuesIterator<V>::ValuesIterator( final Iterator<V> iterator , final AbstractDualBidiMap<?,V> parent)",Not SATD,2.0,4.0,1.0,,,,0.0,0.0
65,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::values()",Not SATD,0.0,6.0,2.0,,,,0.0,2.0
66,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::KeySetIterator<K>::KeySetIterator( final Iterator<K> iterator , final AbstractDualBidiMap<K,?> parent)",Not SATD,2.0,4.0,1.0,,,,0.0,0.0
67,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::View<K,V,E>::removeIf( Predicate<?super E> filter)",Not SATD,1.0,16.0,5.0,,,,0.0,2.0
68,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::View<K,V,E>::retainAll( final Collection <?> coll)",SATD,1.0,18.0,5.0,,,,0.0,2.0
69,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::put( final K key , final V value)",Not SATD,2.0,11.0,3.0,,,,0.0,2.0
70,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::get( final Object key)",Not SATD,1.0,3.0,1.0,,,,0.0,0.0
71,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::ValuesIterator<V>::remove()",Not SATD,0.0,9.0,2.0,,,,0.0,0.0
72,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::createEntrySetIterator( final Iterator<Entry<K,V>> iterator)",Not SATD,1.0,3.0,1.0,,,,0.0,0.0
73,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::KeySet<K>::KeySet( final AbstractDualBidiMap<K,?> parent)",Not SATD,1.0,3.0,1.0,,,,0.0,0.0
74,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::EntrySetIterator<K,V>::EntrySetIterator( final Iterator<Entry<K,V>> iterator , final AbstractDualBidiMap<K,V> parent)",Not SATD,2.0,4.0,1.0,,,,0.0,0.0
75,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::EntrySet<K,V>::EntrySet( final AbstractDualBidiMap<K,V> parent)",SATD,1.0,3.0,1.0,,,,0.0,0.0
76,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::keySet()",Not SATD,0.0,6.0,2.0,,,,0.0,2.0
77,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::createValuesIterator( final Iterator<V> iterator)",Not SATD,1.0,3.0,1.0,,,,0.0,2.0
78,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::createKeySetIterator( final Iterator<K> iterator)",Not SATD,1.0,3.0,1.0,,,,0.0,0.0
79,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::BidiMapIterator<K,V>::BidiMapIterator( final AbstractDualBidiMap<K,V> parent)",Not SATD,1.0,5.0,1.0,,,,0.0,1.0
80,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::AbstractDualBidiMap()",Not SATD,0.0,3.0,1.0,,,,0.0,0.0
81,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::Values<V>::Values( final AbstractDualBidiMap<?,V> parent)",SATD,1.0,3.0,1.0,,,,0.0,0.0
82,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractDualBidiMap.java,"AbstractDualBidiMap<K,V>::AbstractDualBidiMap( final Map<K,V> normalMap , final Map<V,K> reverseMap , final BidiMap<V,K> inverseBidiMap)",Not SATD,3.0,7.0,1.0,,,,0.0,0.0
83,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractEmptyIterator.java,AbstractEmptyIterator<E>::AbstractEmptyIterator(),Not SATD,0.0,3.0,1.0,,,,0.0,2.0
84,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractEmptyIterator.java,AbstractEmptyIterator<E>::reset(),Not SATD,0.0,2.0,1.0,,,,0.0,0.0
85,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractEmptyMapIterator.java,"AbstractEmptyMapIterator<K,V>::AbstractEmptyMapIterator()",Not SATD,0.0,3.0,1.0,,,,0.0,2.0
86,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::init()",Not SATD,0.0,2.0,1.0,,,,0.0,1.0
87,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::createEntrySetIterator()",Not SATD,0.0,6.0,2.0,,,,0.0,1.0
88,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::removeMapping( final HashEntry<K,V> entry , final int hashIndex , final HashEntry<K,V> previous)",SATD,3.0,6.0,1.0,,,,0.0,0.0
89,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::containsKey( Object key)",SATD,1.0,12.0,4.0,,,,0.0,0.0
90,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::AbstractHashedMap( final Map<?extends K,?extends V> map)",Not SATD,1.0,4.0,1.0,,,,0.0,3.0
91,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::ValuesIterator<V>::ValuesIterator( final AbstractHashedMap<?,V> parent)",Not SATD,1.0,3.0,1.0,,,,0.0,0.0
92,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::calculateThreshold( final int newCapacity , final float factor)",Not SATD,2.0,3.0,1.0,,,,0.0,0.0
93,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::entryHashCode( final HashEntry<K,V> entry)",Not SATD,1.0,3.0,1.0,,,,0.0,0.0
94,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::EntrySetIterator<K,V>::EntrySetIterator( final AbstractHashedMap<K,V> parent)",Not SATD,1.0,3.0,1.0,,,,0.0,0.0
95,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::HashEntry<K,V>::HashEntry( final HashEntry<K,V> next , final int hashCode , final Object key , final V value)",Not SATD,4.0,7.0,1.0,,,,0.0,0.0
96,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::updateEntry( final HashEntry<K,V> entry , final V newValue)",SATD,2.0,3.0,1.0,,,,0.0,0.0
97,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::HashIterator<K,V>::HashIterator( final AbstractHashedMap<K,V> parent)",Not SATD,1.0,13.0,3.0,,,,0.0,1.0
98,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::AbstractHashedMap( int initialCapacity , final float loadFactor)",Not SATD,2.0,14.0,4.0,,,,0.0,7.0
99,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::_putAll( final Map<?extends K,?extends V> map)",Not SATD,1.0,11.0,5.0,,,,0.0,0.0
100,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::KeySetIterator<K>::KeySetIterator( final AbstractHashedMap<K,?> parent)",Not SATD,1.0,3.0,1.0,,,,0.0,0.0
101,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::containsValue( final Object value)",Not SATD,1.0,24.0,8.0,,,,0.0,0.0
102,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::values()",SATD,0.0,6.0,2.0,,,,0.0,2.0
103,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::entryNext( final HashEntry<K,V> entry)",SATD,1.0,3.0,1.0,,,,0.0,0.0
104,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::isEmpty()",Not SATD,0.0,3.0,1.0,,,,0.0,0.0
105,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::reuseEntry( final HashEntry<K,V> entry , final int hashIndex , final int hashCode , final K key , final V value)",Not SATD,5.0,7.0,1.0,,,,0.0,0.0
106,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::getEntry( Object key)",SATD,1.0,12.0,4.0,,,,0.0,0.0
107,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::keySet()",SATD,0.0,6.0,2.0,,,,0.0,0.0
108,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::addMapping( final int hashIndex , final int hashCode , final K key , final V value)",SATD,4.0,7.0,1.0,,,,0.0,0.0
109,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::hashIndex( final int hashCode , final int dataSize)",Not SATD,2.0,3.0,1.0,,,,0.0,2.0
110,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::EntrySet<K,V>::size()",Not SATD,0.0,3.0,1.0,,,,1.0,0.0
111,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::EntrySet<K,V>::EntrySet( final AbstractHashedMap<K,V> parent)",Not SATD,1.0,4.0,1.0,,,,0.0,0.0
112,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::checkCapacity()",SATD,0.0,8.0,3.0,,,,0.0,2.0
113,openjpa,33fc72ac857dff85f9ff1ef3173638ca504a5d22,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/AbstractHashedMap.java,"AbstractHashedMap<K,V>::createKeySetIterator()",Not SATD,0.0,6.0,2.0,,,,0.0,0.0
